FoodItem,FoodCategory,Month,Year,SourceCountry,TariffRate,DisasterType,DisasterSeverity,DisasterMultiplier,Price
Beef,Meat,1,2023,USA,0.00,None,0.0,1.0,9.80
Beef,Meat,3,2023,USA,0.00,None,0.0,1.0,9.90
Beef,Meat,6,2023,USA,0.00,Drought,0.5,1.8,12.50
Beef,Meat,6,2023,Mexico,0.10,Drought,0.5,1.8,13.25
Beef,Meat,9,2023,USA,0.00,Drought,0.3,1.8,11.80
Chicken,Meat,1,2023,USA,0.00,None,0.0,1.0,7.90
Chicken,Meat,3,2023,USA,0.00,None,0.0,1.0,8.00
Chicken,Meat,6,2023,USA,0.00,Drought,0.5,1.8,10.25
Chicken,Meat,6,2023,Canada,0.05,Drought,0.5,1.8,10.75
Chicken,Meat,9,2023,USA,0.00,Drought,0.3,1.8,9.75
Milk,Dairy,1,2023,USA,0.00,None,0.0,1.0,4.50
Milk,Dairy,3,2023,USA,0.00,None,0.0,1.0,4.60
Milk,Dairy,6,2023,USA,0.00,Drought,0.5,1.5,5.85
Milk,Dairy,6,2023,Canada,0.05,Drought,0.5,1.5,6.15
Milk,Dairy,9,2023,USA,0.00,Drought,0.3,1.5,5.45
Bread,Grain,1,2023,USA,0.00,None,0.0,1.0,2.80
Bread,Grain,3,2023,USA,0.00,None,0.0,1.0,2.85
Bread,Grain,6,2023,USA,0.00,Drought,0.5,1.6,3.95
Bread,Grain,6,2023,France,0.15,Drought,0.5,1.6,4.55
Bread,Grain,9,2023,USA,0.00,Drought,0.3,1.6,3.65